"elpd_diff","se_diff","rank","dataver","model","province"
0,0,1,"DHF_add","m3h.rtaQeT","SingBuri"
-4.10171934579579,5.12059692268473,1,"DHF_add","m3h.raQeT","SingBuri"
-14.5374035702464,5.54564173109997,2,"DHF_add","m3h.rAT","SingBuri"
-15.2303262926714,5.33970789161445,3,"DHF_add","m3h.rta","SingBuri"
-15.7969956747915,5.11110912193389,4,"DHF_add","m3h.rATQeT","SingBuri"
-19.9512105949034,6.82894646940515,5,"DHF_add","m3h.rtQeT","SingBuri"
-21.3693371545119,8.37708499511419,6,"DHF_add","m1h.raQeT","SingBuri"
-24.9675637185987,6.81728753551518,7,"DHF_add","m3h.ra","SingBuri"
-29.2064673747496,8.38932853346559,8,"DHF_add","m3h.rt","SingBuri"
-36.2464435955614,9.58771851076472,9,"DHF_add","m1h.rta","SingBuri"
-38.4552318654674,8.38357163598755,10,"DHF_add","m3h","SingBuri"
-42.0757312613029,9.45172535782575,11,"DHF_add","m1h.rtaQeT","SingBuri"
-45.5929334029998,9.14764013085311,12,"DHF_add","m1h.rATQeT","SingBuri"
-46.4251446184891,8.95993036837217,13,"DHF_add","m1h.rAT","SingBuri"
-56.4728460257771,12.4216489119348,14,"DHF_add","m3hQeT","SingBuri"
-114.148093107529,13.6943671048035,15,"DHF_add","m1h.rtQeT","SingBuri"
-126.238419362414,14.8013499061323,16,"DHF_add","m1h","SingBuri"
-128.336707229037,15.2095116305445,17,"DHF_add","m1h.rt","SingBuri"
